,vocab,meaning
2071,bravado,n.虚张声势 
2072,restriction,"n.限制,限定,约束 "
2073,remorseful,"a.极为后悔的,懊悔的 "
2074,supercede,"vt.使先具有,先有好感 "
2075,obsession,"n.迷住,困扰 "
2076,opacity,"n.不透明,电波不透过,不透明体 "
2077,surfeit,"n.过食,过度,恶心vt.使腻,使沉溺于vi.饮食过度 "
2078,palpable,"a.可触知的,明显的 "
2079,flatter,"vt.过分夸赞,奉承,阿谀,使高兴 "
2080,rehearsal,"n.预演,排演,复述,背诵 "
2081,refund,"n.偿还vt.付还,偿还借款vi.归还,偿还 "
2082,trenchant,"a.锐利的,尖刻的,苛刻的,清晰的,分明的 "
2083,console,"vt.安慰,慰藉n.控制台 "
2084,reticent,"a.无言的,沉默的,谨慎的 "
2085,aloof,"a.疏远的,冷淡的ad.远离,离开 "
2086,tolerable,"a.可容忍的,可以的 "
2087,supplement,"n.补充物,增刊,补充vt.补充,增补 "
2088,spareness,"n.缺乏,贫乏,瘦弱 "
2089,platitude,"n.单调,平凡,陈腐 "
2090,community,"n.社区,公众,共有,共同体 "
2091,self-evaluation,n.自我评价 
2092,innocence,"n.无罪,无知,天真无邪 "
2093,prescience,"n.预知,先见 "
2094,misnomer,n.用词不当 
2095,lone,"a.孤单的,孤立的,单身的,寂寞的 "
2096,restless,"a.不安静的,慌张的,睡不着的 "
2097,disperse,"vt.分散,传播,散开vi.分散a.分散的 "
2098,embellish,"vt.修饰,装饰,润色 "
2099,transparent,"a.透明的,显然的,明晰的n.透明 "
2100,hackneyed,"a.不新奇的,常见的,陈腐的 "
2101,discredit,"n.无信用,疑惑,不名誉vt.不信,怀疑,使丢脸 "
2102,decipher,"vt.译解,解释n.密电译文 "
2103,contemptible,"a.卑鄙的,可轻蔑的,不足齿的 "
2104,immaterial,"a.非物质的,无形的,精神的 "
2105,juxtapose,"vt.并置,并列 "
2106,ramshackle,"a.像要倒的,摇摇欲坠的 "
2107,pedantic,"a.卖弄学问的,炫学者,假装学者的 "
2108,distract,"vt.转移,分心,使发狂 "
2109,morbidity,"n.病态,不健全,罹病率 "
2110,replicate,"vt.折叠,折转,复制a.折转的,弯回的 "
2111,debase,"vt.贬低,降低 "
2112,inflexibility,"n.不屈曲性,顽固,不变性 "
2113,unruly,"a.难控制的,无法无天的,任性的 "
2114,defy,"vt.藐视,挑衅,使落空n.挑战 "
2115,misstate,"vt.说错,作虚伪叙述 "
2116,elude,"vt.逃避,规避,使困惑 "
2117,adulatory,"a.谄媚的,奉承的,阿谀的 "
2118,reconciliation,"n.和解;调停;和谐,一致 "
2119,bifurcation,"n.分叉,分歧,分歧点 "
2120,duration,"n.持续时间,为期 "
2121,irritable,"a.易怒的,急躁的 "
2122,dormant,"a.睡眠状态的,静止的 "
2123,munificent,"a.宽宏的,慷慨的 "
2124,diffident,a.羞怯的；缺乏自信的；谦虚谨慎的 
2125,constellation,"n.星座,灿烂的一群 "
2126,permutation,"n.交换,排列 "
2127,unleash,"vt.解开…的皮带,解放,释放 "
2128,stringent,"a.迫切的,严厉的,银根紧的 "
2129,paucity,"n.少数,少量,缺乏 "
2130,ineffectual,"a.无效的,无益的,白费的 "
2131,anatomy,"n.剖析,解剖学,骨骸 "
2132,cynicism,n.犬儒主义 
2133,coalesce,"vi.合并,联合,接合 "
2134,timid,"a.胆小的,羞怯的 "
2135,unconscionable,"a.不合理的,没有条理的,过度的 "
2136,strenuous,"a.奋发的,热心的,热烈的,紧张的 "
2137,elegance,"n.高雅,典雅,优雅 "
2138,plethora,"n.过多,过剩,多血症 "
2139,reconstituted,a.再造的;再生的 
2140,abasement,"n.贬抑,屈辱,谦卑 "
2141,dupe,"n.傻瓜,易受骗的人vt.欺骗,愚弄 "
2142,alacrity,"n.敏捷,轻快,乐意 "
2143,inefficacious,"a.无效力的,无用的 "
2144,suspicious,"a.可疑的,疑惧的,怀疑的 "
2145,prepossess,"vt.使先具有,预先灌输情感,先有好感 "
2146,plenitude,"n.充分,完全,充足 "
2147,thwart,"a.横放的vt.反对,阻碍,横过 "
2148,gentleness,"n.温顺,柔和,亲切 "
2149,indefatigable,"a.不知疲倦的,有耐性的,不屈不挠的 "
2150,abound,"vi.丰富,富于,充满 "
2151,salutary,"a.有益的,有用的,有益健康的 "
2152,impassioned,"a.感激的,狂热的,热烈的 "
2153,ignominy,"n.耻辱,不名誉,不体面 "
2154,inhibition,"n.禁止,禁制,压抑 "
2155,infusion,"n.注入,鼓吹,熬煮 "
2156,repeal,"n.废止,撤销vt.废止,撤销,放弃 "
2157,condone,"vt.赦,宽恕 "
2158,profundity,"n.深,深度,深厚,深刻,深奥 "
2159,simplicity,"n.单纯,简朴,朴素,天真,无知,坦率 "
2160,matriarchal,a.女家长的 
2161,penalty,"n.刑罚,罚款,报应 "
2162,reactionary,"n.反动者,反动主义者a.反动主义的,反对改革的 "
2163,quizzical,a.古怪的 
2164,absolutist,"n.专制主义者,专制政治论者,绝对论者 "
2165,kinetic,"a.运动的,运动引起的,活跃的,动力学的 "
2166,stagnation,"n.淤塞,停滞,沉滞 "
2167,desecration,"n.亵渎神圣,污辱 "
2168,irresponsible,"a.不负责任的,不可靠的 "
2169,insinuate,"vt.巴结,暗示,使潜入 "
2170,memorable,"a.值得纪念的,难忘的 "
2171,evade,"v.规避,逃避,躲避 "
2172,transcribe,"vt.抄写,译写,改编,录制,意译 "
2173,realization,"n.实现,领悟,实得 "
2174,tempt,"vt.诱惑,引诱,冒…风险,吸引 "
2175,charlatan,n.吹牛者 
2176,rationalization,n.⑴合理化⑵[数学]有理化 
2177,medicinal,"a.医学的,药的,有益的 "
2178,truce,"n.停战,休止vi.停战,休止vt.以休战结束 "
2179,indulgent,"a.纵容的,任性的,放纵的 "
2180,incomprehensibl,"a.不能理解,费解的,无限的 "
2181,obscure,"a.微暗的,难解的,含糊的,不著名的,偏僻的 "
2182,banality,"n.平凡,陈腐 "
2183,covert,"a.隐蔽的,偷偷摸摸的,隐秘的n.树丛,隐藏处 "
2184,perquisite,"n.额外补贴,临时津贴 "
2185,intonation,"n.朗诵,语调,唱 "
2186,thrive,"vi.繁荣,兴旺,茁壮成长 "
2187,flagrant,"a.非常的,不能容忍的,恶名昭著的 "
2188,indiscriminate,"a.无差别的,不分皂白的,杂陈的 "
2189,diagnostic,"a.诊断的,特征的n.诊断,病的征候,诊断法 "
2190,pivotal,"a.枢轴的,关键的 "
2191,setback,"n.顿挫,挫折,退步 "
2192,aromatic,a.芬芳的 
2193,rectitude,"n.正直,公正,清廉 "
2194,unique,"n.独一无二a.唯一的,独一无二的,独特的 "
2195,fervent,"a.热的,炎热的,热心的 "
2196,rehearse,"vt.预演,排演,使排练,复述,背诵,练习 "
2197,consequential,"a.⑴重大的,重要的⑵当然的,必然的 "
2198,subordinate,"n.属下,附属物a.下级的,附属的vt.使服从 "
2199,berate,vt.严责 
2200,recourse,"n.求援,求助,追索权 "
2201,divert,"vt.转移,使欢娱vi.转移 "
2202,ambiguity,"n.不明确,含糊,暧昧 "
2203,wrongheaded,"a.乖僻的,顽固的,固执的,坚持错误的 "
2204,artistry,n.艺术之性质 
2205,disgruntle,vt.使不高兴 
2206,recruit,"n.新兵,新会员,补给品vi.征募新兵,复原 "
2207,historian,"n.历史学家,史家 "
2208,rehabilitation,n.复原 
2209,commiseration,"n.怜悯,同情,追悼词 "
2210,indecision,n.优柔寡断 
2211,perpetuate,"vt.使永存,使不朽 "
2212,consecrate,"vt.供神用,奉献,使神圣a.神圣的 "
2213,chide,"v.斥责,责骂 "
2214,deceive,"v.欺骗,行骗 "
2215,libertine,"n.放荡者,玩乐者,浪子,自由思想家a.放荡的 "
2216,rustic,"n.乡下人,村夫,农民a.乡村的,淳朴的,粗糙的 "
2217,exhibit,"n.展览品,陈列品,展览vt.展现,陈列,展览 "
2218,lullaby,"n.摇篮曲,催眠曲,轻柔的音乐 "
2219,voluminous,"a.卷数多的,大部分的,长篇的,庞大的 "
2220,prescriptive,"a.规定的,指示的,惯例的 "
2221,animosity,"n.仇恨,憎恶,敌意 "
2222,despoil,"vt.夺取,掠夺 "
2223,masterful,"a.傲慢的,主人派头的,能干的 "
2224,anomalous,"a.不规则的,反常的 "
2225,prospect,"n.景色,希望,展望vt.勘探,寻找vi.勘探,有前途 "
2226,insidious,"a.隐伏的,阴险的,狡猾的 "
2227,regularly,"ad.有规则地,一丝不苟地,正式地 "
2228,indefinite,"a.模糊的,不确定的,无限的 "
2229,prohibit,"vt.禁止,阻止 "
2230,boisterous,"a.猛烈的,喧闹的,狂暴的 "
2231,jubilant,"a.欢呼的,喜洋洋的 "
2232,symbiotic,"a.共栖的,共生的 "
2233,connoisseur,"n.鉴识家,鉴定家,内行 "
2234,mendacious,"a.虚假的,说谎的 "
2235,intercept,"n.截取,妨碍,截距vt.拦截,阻止,截取 "
2236,introspection,"n.内省,反省 "
2237,deficit,"n.赤字,不足额 "
2238,bourgeois,"n.中产阶级分子,资产阶级a.中产阶级的,平庸的 "
2239,propagate,"vt.繁殖,传播,传送vi.繁殖,蔓延 "
2240,credulity,"n.易信,轻信 "
2241,retrieve,"vt.挽回,弥补vi.找回猎物n.恢复的希望,救险球 "
2242,dwarf,"n.矮子,侏儒v.(使)变矮小 "
2243,acquiescent,"a.默许的,默认的,默从的 "
2244,outrage,"n.暴行,侮辱,愤怒vt.凌辱,虐待,触犯 "
2245,indolence,"n.怠惰,不痛 "
2246,duplicity,"n.口是心非,不诚实,表里不一 "
2247,flamboyance,"n.华丽,火焰 "
2248,salvageable,"a.⑴可抢救的,能救出的⑵可打捞的 "
2249,quash,"vt.撤销,镇定,镇压 "
2250,substantiation,"n.实体化,证实,证明 "
2251,contingency,"n.偶然,可能性,意外事故 "
2252,solemnize,"vt.隆重地庆祝,庄重地举行,使显庄严 "
2253,rival,"n.对手,竞争者a.竞争的 "
2254,judicious,"a.头脑精明的,贤明的,判断正确的 "
2255,discreet,"a.小心的,慎重的 "
2256,consign,"vt.交付,分配,委托,寄存 "
2257,descend,"vi.下降,传下,屈尊,袭击vt.下降 "
2258,revivalist,"n.信仰复兴论者,复古主义者 "
2259,mentor,"n.良师益友,私人教师 "
2260,amateurish,"a.业余的,非专门的,不熟练的 "
2261,portent,"n.前兆,预示,异常之物 "
2262,docile,"a.容易教的,温顺的 "
2263,slender,"a.苗条的,纤弱的,微小的,微薄的 "
2264,eccentric,"n.怪人,偏心圆a.古怪的,反常的,不同圆心的 "
2265,anecdotal,"a.逸话的,多逸事趣闻的,轶事一样的 "
2266,interleave,vt.插入纸 
2267,disdain,"n.轻蔑vt.蔑视,鄙弃 "
2268,enhance,"vt.提高,加强,增加 "
2269,gratify,vt.使满足 
2270,suspend,"vt.悬,吊,使悬浮,推迟,中止,宣布破产 "
2271,robust,"a.健康的,强健的,粗野的,坚定的 "
2272,circumspect,"a.细心的,慎重的 "
2273,stalemate,"n.僵持状态,僵局,v.陷于困境,胶着状况 "
2274,mockery,"n.嘲弄,笑柄,蔑视 "
2275,partisan,"n.党羽,同党的人a.党徒的,效忠的,献身的 "
2276,stratify,vt.(使)成层 
2277,banal,"a.平凡的,陈腐的 "
2278,shrewd,"a.精明的,锐利的,厉害的,机灵的,剧烈的 "
2279,recommendation  ,"n.推荐,介绍,推荐信,劝告 "
2280,eradication,"n.根除,扑灭 "
2281,profoundly,"adv.深深地,深刻地;大大地 "
2282,misconception,n.误解；错误想法；错觉 
2283,curtail,"vt.缩减,剥夺,简略 "
2284,inducement,"n.诱因,动机,刺激物 "
2285,isolation,"n.隔绝,孤立,隔离 "
2286,responsible,a.有责任的；负责的，可靠的 
2287,renovation,"n.革新,刷新,修理 "
2288,nullify,"vt.使无效,废弃,取消 "
2289,streamline,"n.流线,流线型vt.使成流线型,使合理化 "
2290,divisive,"a.区分的,分裂的,不和的 "
2291,titer,"n.浓度测定,滴定量 "
2292,multifarious,"a.多种的,各种各样的,繁杂的 "
2293,evolve,"vi.进展,进化,展开vt.使发展,推论,使进化 "
2294,career,"n.事业,生涯,速度 "
2295,steadfast,a.坚定的；不变的 
2296,clarity,"n.清楚,透明 "
2297,therapeutic,"a.治疗的,治疗学的 "
2298,entertain,"vt.娱乐,招待,怀抱vi.款待 "
2299,singularly,"ad.少见地,不可思议地,异常地 "
2300,crude,"a.天然的,粗糙的,粗鲁的n.天然的物质 "
2301,whimsical,"a.心情浮动的,反复无常的,古怪的,异想天开的 "
2302,unintelligible,"a.无法了解的,难解的,莫名其妙的 "
2303,deride,"vt.嘲弄,嘲笑 "
2304,conceal,"vt.隐藏,掩盖,掩蔽 "
2305,demanding,"a.要求多的,吃力的 "
2306,self-serving,"a.自私的,自私自利的 "
2307,meteor,"n.流星,大气现象 "
2308,effusive,"a.感情横溢的,流出的 "
2309,generic,a.一般的；属的；类的；非商标的 
2310,salutation,"n.招呼,寒暄,问候 "
2311,dogmatic,"a.教条的,独断的 "
2312,prod,"n.刺针,刺棒,签子vt.戳,刺,刺激vi.戳,刺 "
2313,imprudent,"a.轻率的,鲁莽的 "
2314,publicize,"vt.宣传,公布,广告 "
2315,quixotic,"a.堂·吉诃德式的,空想的,不切实际的 "
2316,venerate,"vt.尊敬,崇敬,崇拜 "
2317,mock,"n.嘲笑,戏弄,模仿a.假的,伪造的vt.嘲弄,模仿 "
2318,industrious,"a.勤勉的,刻苦的 "
2319,compassionate,"a.慈悲的,富于同情心的vt.怜悯,同情 "
2320,obtuse,"a.钝的,不尖的,圆头的 "
2321,cloy,"vt.使吃饱,使过饱,使厌腻vi.吃饱 "
2322,slovenly,"a.不修边幅的,邋遢的,懒散的 "
2323,arcane,"a.神秘的,不可思议的 "
2324,embolden,"vt.使大胆,使有胆量 "
2325,harbinger,"n.先驱,预兆vt.预告,充作…的前驱 "
2326,reciprocate,"vt.互换,交换,报答,使往复运动 "
2327,expansion,"n.扩充,开展,膨胀 "
2328,belligerence,"n.交战,好战性,斗争性 "
2329,cowardice,n.懦弱 
2330,displace,"vt.移置,替换,转移 "
2331,bizarre,a.奇异的 
2332,immutable,"a.不可变的,不变的,不能变的 "
2333,generalize,"vt.一般化,概括,推广vi.形成概念,笼统讲 "
2334,vestige,"n.遗迹,痕迹,退化的器官,丝毫,残余 "
2335,designate,"vt.指定,指明,称呼a.选出而未上任的 "
2336,incontrovertible,"a.无争论余地的,无疑的,明白的 "
2337,discretion,"n.慎重,辨别力,考虑,处理权 "
2338,seclusion,"n.隔离,孤立,隐退 "
2339,vocal,"a.声音的,有声的,歌唱的n.元音,声乐作品 "
2340,ascertain,"vt.确定,探知 "
2341,sate,"vt.使心满意足,过分的给予 "
2342,supportive,"a.⑴有支持作用的⑵和蔼地对待的,合作的 "
2343,diversity,"n.差异,多样性 "
2344,facile,"a.温和的,容易的,灵巧的 "
2345,munificence,"n.宽宏大量,慷慨给予 "
2346,exasperation,n.恼怒；恶化；惹人恼怒的事 
2347,conclusive,a.最后的；决定性的；确实的；确定性的 
2348,dominate,"v.支配,占优势 "
2349,reiterate,"vt.反复地说,重申,反复地做 "
2350,chronicle,"n.年代记,记录,编年史vt.载入编年史 "
2351,comparability,n.相似性;可比较性 
2352,wily,"a.使用计谋的,有诡计的,狡猾的 "
2353,uniformity,"n.同样,划一,一致 "
2354,formality,"n.礼节,程序,拘谨,正式手续 "
2355,amicable,"a.友善的,和平的 "
2356,inconclusive,"a.非决定性,不确定的,不得要领的 "
2357,irritate,"vt.激怒,使不舒服,使发炎vi.引起不快 "
2358,banter,"n.戏谑,嘲弄v.戏弄,开玩笑 "
2359,corollary,"n.系,推论,必然的结果 "
2360,sanguine,"a.血红色的,指望的n.血红色vt.以血沾污,血染 "
2361,obliterate,"vt.涂去,擦去,删除,使湮没 "
2362,leery,"a.机敏的,细心的,狡猾的 "
2363,discourteous,"a.失礼的,无礼貌的 "
2364,vacillation,"n.游移不定,踌躇,不果断 "
2365,conundrum,"n.谜,难题,谜样的人 "
2366,tenable,"a.可守的,可主张的,有条理的,成立的 "
2367,glorify,"vt.赞美,美化,赞扬,使辉煌 "
2368,frolicsome,a.嬉戏的 
2369,histrionic,"a.演员的,演剧的,有如演戏的n.演员,戏剧性 "
2370,mediator,"n.调停者,仲裁人,基督 "
2371,acclaim,"n.喝采,欢呼,赞同v.欢呼,喝采,称赞 "
2372,pretentious,"a.自负的,自任不凡的,夸耀的 "
2373,avoidance,"n.避免,避开,逃避 "
2374,dismissive,a.表示轻视的 
2375,prevail,"vi.获胜,流行,盛行 "
2376,vindictive,"a.有报仇心的,怀恨的,惩罚的 "
2377,confer,"vt.赠予,协议vi.协商 "
2378,refurbish,"vt.再磨光,刷新 "
2379,intemperance,"n.不节制,过度,酗酒 "
2380,authenticate,"vt.证明,证实,鉴定 "
2381,illuminate,"vt.照明,阐明,用灯装饰,使灿烂,说明 "
2382,deterrent,"a.制止,防止,挽留n.挽留的事物,妨碍物 "
2383,escalate,"vi.逐步扩大,逐步升高,逐步增强vt.使逐步上升 "
2384,incompetent,"a.无能力的,无力的,不胜任的n.无能力者 "
2385,mandatory,"a.命令的,托管的 "
2386,ideologue,"n.理论家,思想家,观念学家 "
2387,defunct,"a.死的,非现存的n.死者 "
2388,prudence,"n.审慎,慎重,精明,节俭 "
2389,improvise,"vt.即席写作,即席即兴,即席而作 "
2390,mute,"n.哑巴,弱音器a.哑的,沉默的vt.减弱…的声音 "
2391,celebrity,"n.名声,名人 "
2392,propose,"vt.计划,打算,求(婚),向…提议,建议 "
2393,redolent,"a.芬芳的,有…香味的,令人想起…的 "
2394,vicious,"a.邪恶的,堕落的,品性不端的,有错误的,恶性的 "
2395,stature,"n.身材,身长,重要性,高度 "
2396,remedy,"n.药物,治疗法,赔偿,治疗vt.治疗,补救,矫正 "
2397,intransigent,a.非妥协性的n.不妥协的人 
2398,mitigator,n.缓和者 
2399,forgivable,a.可宽恕的；可原谅的 
2400,egalitarian,a.平等主义的n.平等主义 
2401,extol,"vt.颂扬,称赞,吹捧 "
2402,requisition,"n.正式请求,申请,需要,征用,通知单,命令 "
2403,auspicious,"a.吉兆的,幸运的 "
2404,comprehend,"vt.理解,包括 "
2405,dubious,"a.可疑的,不确定的 "
2406,perfectionist,n.至善论者；完美主义者，追求完美的人 
2407,dictum,"n.言明,格言,法官的附带意见 "
2408,excitement,"n.刺激,兴奋 "
2409,futility,"n.无用,无益,无价值 "
2410,guileless,"a.不狡猾的,诚实的 "
2411,constitute,"vt.构成,组成,任命 "
2412,envelop,"vt.包封,遮盖,包围 "
2413,hubris,"n.傲慢,骄傲 "
2414,competitive,a.竞争的 
2415,officious,"a.多管闲事的,非官方的 "
2416,assault,"n.攻击,突袭vt.袭击,突袭vi.动武 "
2417,sprawl,"n.伸开手足的姿势v.爬行,蔓延,潦草地书写 "
2418,machination,"n.阴谋,图谋,策划 "
2419,inconsequential,"a.不合逻辑的,不合理的,不重要的 "
2420,impoverish,"vt.使贫穷,使枯竭 "
2421,unvaried,a.未改变的;无变化的 
2422,bolster,"n.支持,长枕vt.支持,支撑 "
2423,temperance,"n.温暖的,温和,有节制 "
2424,considerable,"a.相当的,可观的,重要的 "
2425,serendipity,"n.偶然发现的才能,易遇奇缘的运气 "
2426,deceitful,a.欺诈的 
2427,dispatch,"vt.派遣n.派遣,急件 "
2428,duplication,"n.副本,复制 "
2429,idealize,"vt.使理想化vi.理想化,形成思想,描述理想 "
2430,orb,"n.球,天体,圆形物vt.弄圆,成球形,围着 "
2431,devastate,vt.毁坏 
2432,indecent,"a.下流的,不妥当的 "
2433,diction,"n.措辞,言语,用语 "
2434,adept,"a.熟练的,老练的n.名手,专家 "
2435,irresolute,"a.无决断的,优柔寡断的,踌躇不定的 "
2436,intruder,"n.侵入者,干扰者,妨碍者 "
2437,eschew,"vt.避开,远避 "
2438,nostalgic,"a.乡愁的,怀旧的 "
2439,botch,"v.拙笨地修补,糟蹋n.拙笨的修补,难看的补缀 "
2440,unscrupulous,a.肆无忌惮的；寡廉鲜耻的；不讲道德的 
2441,miff,"n.小争执,微怒vt.使恼怒vi.恼羞成怒 "
2442,hospitality,"n.款待,亲切,殷勤 "
2443,awaken,"v.唤醒,醒来,唤起 "
2444,exclusive,"a.独占的,唯一的,排外的a.独占的 "
2445,solace,"n.安慰,安慰之物vt.安慰,抚慰,给予安慰,使轻松 "
2446,tact,"n.机智,手法,老练 "
2447,passivity,"n.被动,被动性,无抵抗 "
2448,protege,"n.被保护者,党羽,门徒 "
2449,conflate,vt.合并<两种不同的版本>vi.合并不同版本 
2450,trigger,"n.触发器,扳机,制滑机vt.触发,发射,引起 "
2451,incisive,"a.敏锐的,机敏的,锋利的,切入的,激烈的 "
2452,overweening,"a.骄傲的,自负的,过于自信的 "
2453,testify,"v.证明,作证,声明,表明 "
2454,unacquainted,"a.不知道的,不认识的,陌生的 "
2455,rambunctious,"a.粗暴的,难控制的,骚乱的 "
2456,opportunist,"n.机会主义者,投机取巧者 "
2457,spar,"n.晶石,圆材,斗鸡,争论vi.拳斗,争论 "
2458,prosperity,"n.繁荣,幸运,成功 "
2459,intelligible,"a.可理解的,易理解的,明了的 "
2460,discriminating,"a.识别的,有识别力的,有差别的 "
2461,concealment,"n.隐匿,隐蔽,躲藏 "
2462,extravagance,"n.奢侈,浪费,放肆的言行 "
2463,polarization,"n.⑴极性化,极化⑵偏向;对立,分裂 "
2464,revisionist,n.修正主义者a.修正主义的 
2465,susceptible,"a.易受影响的,易感动的,容许…的 "
2466,sneer,"n.冷笑,嘲笑vi.嘲笑,冷笑vt.嘲笑着说,嘲笑着使 "
2467,geology,"n.地质学,地质概况 "
2468,estrangement,n.疏远 
2469,demurral,n.表示异议;反对 
2470,counteract,"vt.抵消,阻碍,中和 "
2471,skepticism,n.怀疑论 
2472,hapless,"a.倒霉的,不幸的 "
2473,agent,n.代理商 
2474,vitriolic,"a.硫酸的,像硫酸的,刻薄的 "
2475,emulate,"vt.效法,尽力赶上,同…竞争 "
2476,condescend,"vi.谦逊,屈就,堕落 "
2477,conviction,"n.定罪,信服,坚信 "
2478,dismissal,"n.免职,解雇 "
2479,unparalleled,"a.无比的,优良无比的,空前的 "
2480,ossify,"vt.使骨化,使硬化vi.骨化,硬化,变无情 "
2481,innovation,"n.改革,创新 "
2482,repress,"vt.镇压,抑制,压制vi.压制 "
2483,unwitting,"a.不知情的,无意识的,不知不觉的 "
2484,tribute,"n.贡物,礼物,感谢辞 "
2485,incoherent,"a.不连贯的,语无伦次的 "
2486,mischievous,"a.淘气的,有害的,恶作剧的,胡搅的 "
2487,downplay,vt.不予重视 
2488,impeccable,"a.无懈可击的,无缺点的 "
2489,monumental,"a.纪念碑的,作为纪念的,不朽的 "
2490,resemble,"vt.相似,类似,像 "
2491,disparager,n.毁谤者;贬抑者 
2492,smug,"a.自以为是的,俏皮的n.书呆子,自命不凡的人 "
2493,sympathetic,"a.有同情心的,合意的,赞成的n.容易感受的人 "
2494,digression,"n.离题,扯到枝节上,脱轨 "
2495,efface,vt.抹去，抹掉；使自己不受人注意 
2496,eminent,"a.显赫的,杰出的,有名的 "
2497,animate,"vt.使有生气,赋予生命a.有生命的,有生气的 "
2498,graceless,"a.不知礼的,不知耻的,粗野的 "
2499,levity,"n.轻率,轻浮,轻薄 "
2500,scour,"vt.擦亮,洗涤,冲洗,急速穿过,冲刷成,清洗 "
2501,genial,"a.和蔼的,亲切的,友善的 "
2502,proliferation,"n.增殖,分芽繁殖 "
2503,preclude,"vt.预先排除,预防,阻止,妨碍 "
2504,mollify,"vt.平息,缓和,减轻,使镇静 "
2505,denounce,"vt.告发,公然抨击,谴责 "
2506,reproduction,"n.再现,复制,复制品,繁殖,生殖 "
2507,abruptness,"n.突然,唐突 "
2508,superfluous,"a.多余的,过剩的 "
2509,resilience,"n.弹回,有弹力,恢复力 "
2510,reverential,"a.虔诚的,表示尊敬的,充满崇敬心的 "
2511,unverified,a.未经证实的 
